Cristiano Ronaldo;ST
João Félix;AM,LW,ST
Rafael Leão;LW,ST
Gonçalo Ramos;ST
Francisco Conceição;RW,AM
Bruno Fernandes;AM,MC,DM
Bernardo Silva;MC,DM,RW,AM
Vitinha;MC
João Neves;MC
Pedro Neto;RW,LW
Rúben Neves;MC,DM
Francisco Trincão;AM
Gonçalo Guedes;ST,LW
Samú Costa;MC,DM
João Cancelo;DR,DL
Nuno Mendes;DL
Rúben Dias;DC
Diogo Dalot;DR,ML,MR
Matheus Nunes;DR
Renato Veiga;DC,MC
Nélson Semedo;DR,MR
Gonçalo Inácio;DC,DL
Tomás Araújo;DC,DR
Diogo Costa;G
José Sá;G
Rui Silva;G
